"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","343.69","341.82","344.37","341.23","3.51M","0.54%"
"2020- 12- 30","341.85","342.28","342.91","341.56","2.01M","0.13%"
"2020- 12- 29","341.39","343.63","343.77","340.87","2.56M","-0.21%"
"2020- 12- 28","342.11","341.74","342.46","341.09","2.80M","0.87%"
"2020- 12- 24","339.16","338.37","339.18","337.77","1.45M","0.40%"
"2020- 12- 23","337.81","338.54","339.75","337.69","3.68M","0.08%"
"2020- 12- 22","337.54","338.47","338.55","336.47","2.38M","-0.60%"
"2020- 12- 21","339.59","336.83","340.38","334.11","3.92M","-0.31%"
"2020- 12- 18","340.64","342.39","342.50","338.70","6.03M","-0.40%"
"2020- 12- 17","342.01","341.77","342.25","340.96","2.63M","0.54%"
"2020- 12- 16","340.16","339.83","341.04","338.96","2.94M","0.15%"
"2020- 12- 15","339.64","337.64","339.64","336.24","2.76M","1.38%"
"2020- 12- 14","335.01","338.76","339.79","334.89","2.65M","-0.46%"
"2020- 12- 11","336.55","335.31","336.80","333.77","2.39M","-0.13%"
"2020- 12- 10","336.98","335.74","338.00","334.84","2.74M","-0.05%"
"2020- 12- 09","337.14","340.79","340.93","336.26","2.55M","-0.89%"
"2020- 12- 08","340.16","337.89","340.70","337.85","1.95M","0.29%"
"2020- 12- 07","339.18","339.07","339.63","337.91","1.94M","-0.19%"
"2020- 12- 04","339.81","337.50","339.84","337.45","2.91M","0.86%"
"2020- 12- 03","336.91","336.91","338.30","335.88","2.85M","-0.03%"
"2020- 12- 02","337.01","335.22","337.11","334.65","2.27M","0.21%"
"2020- 12- 01","336.30","335.92","337.80","335.32","3.24M","1.10%"
"2020- 11- 30","332.64","333.40","333.63","330.04","4.18M","-0.45%"
"2020- 11- 27","334.14","334.29","334.61","333.18","984.71K","0.29%"
"2020- 11- 25","333.19","333.67","333.67","332.15","2.26M","-0.16%"
"2020- 11- 24","333.74","331.02","334.25","330.10","2.66M","1.62%"
"2020- 11- 23","328.42","328.28","329.60","326.06","2.22M","0.59%"
"2020- 11- 20","326.49","328.41","328.66","326.40","3.52M","-0.67%"
"2020- 11- 19","328.69","326.76","329.09","325.41","2.96M","0.42%"
"2020- 11- 18","327.32","331.63","332.14","327.29","2.65M","-1.21%"
"2020- 11- 17","331.34","330.73","332.50","329.25","3.05M","-0.50%"
"2020- 11- 16","333.00","331.65","333.12","330.40","3.02M","1.21%"
"2020- 11- 13","329.01","326.45","329.73","325.89","2.00M","1.36%"
"2020- 11- 12","324.60","326.74","327.44","322.73","2.54M","-0.92%"
"2020- 11- 11","327.63","327.42","328.50","326.17","2.77M","0.70%"
"2020- 11- 10","325.34","324.77","326.30","322.06","4.12M","-0.13%"
"2020- 11- 09","325.76","334.36","335.20","325.28","8.10M","1.25%"
"2020- 11- 06","321.75","321.44","322.92","319.43","3.64M","-0.01%"
"2020- 11- 05","321.79","320.94","323.55","320.52","3.95M","1.96%"
"2020- 11- 04","315.61","313.19","319.65","312.00","5.75M","2.25%"
"2020- 11- 03","308.66","306.57","310.74","306.09","3.38M","1.76%"
"2020- 11- 02","303.31","303.37","305.31","300.63","4.08M","1.16%"
"2020- 10- 30","299.82","301.56","302.86","296.37","5.89M","-1.12%"
"2020- 10- 29","303.23","300.32","306.25","298.69","5.37M","1.05%"
"2020- 10- 28","300.07","305.13","305.74","299.62","5.65M","-3.44%"
"2020- 10- 27","310.77","312.18","312.47","310.56","2.20M","-0.33%"
"2020- 10- 26","311.80","314.31","315.08","308.36","3.34M","-1.84%"
"2020- 10- 23","317.65","317.84","317.84","315.24","1.43M","0.34%"
"2020- 10- 22","316.57","315.06","317.16","312.99","2.36M","0.55%"
"2020- 10- 21","314.84","315.41","317.52","314.59","2.61M","-0.18%"
"2020- 10- 20","315.41","315.48","318.67","314.78","3.07M","0.39%"
"2020- 10- 19","314.17","320.30","320.89","313.33","2.23M","-1.51%"
"2020- 10- 16","318.99","320.65","322.21","318.90","1.67M","-0.08%"
"2020- 10- 15","319.26","315.71","319.70","315.23","2.49M","-0.12%"
"2020- 10- 14","319.64","322.22","323.30","318.93","1.91M","-0.62%"
"2020- 10- 13","321.65","323.64","323.73","320.71","2.23M","-0.64%"
"2020- 10- 12","323.72","321.14","325.22","320.66","2.19M","1.61%"
"2020- 10- 09","318.58","317.47","319.10","316.85","2.79M","0.89%"
"2020- 10- 08","315.77","314.96","315.85","314.05","1.73M","0.88%"
"2020- 10- 07","313.00","310.61","313.81","310.60","1.71M","1.72%"
"2020- 10- 06","307.72","312.25","314.32","307.18","3.39M","-1.40%"
"2020- 10- 05","312.08","308.69","312.29","308.69","2.36M","1.75%"
"2020- 10- 04","306.72","306.72","306.72","306.72","","0.00%"
"2020- 10- 03","306.72","306.72","306.72","306.72","","0.00%"
"2020- 10- 02","306.72","304.72","308.58","304.21","3.13M","-0.93%"
"2020- 10- 01","309.60","310.16","311.11","307.76","3.01M","0.63%"
"2020- 09- 30","307.65","306.04","310.75","305.85","4.30M","0.77%"
"2020- 09- 29","305.30","306.84","307.51","304.65","2.31M","-0.99%"
"2020- 09- 28","308.36","307.42","309.02","306.43","2.44M","1.68%"
"2020- 09- 27","303.28","303.28","303.28","303.28","","0.00%"
"2020- 09- 26","303.28","303.28","303.28","303.28","","0.00%"
"2020- 09- 25","303.28","297.57","304.04","296.72","2.68M","1.60%"
"2020- 09- 24","298.50","296.31","301.46","295.04","3.13M","0.28%"
"2020- 09- 23","297.68","305.28","305.55","297.17","2.76M","-2.32%"
"2020- 09- 22","304.74","303.11","305.24","300.67","2.74M","1.01%"
"2020- 09- 21","301.69","300.47","301.75","296.83","4.54M","-1.09%"
"2020- 09- 18","305.00","309.44","309.48","302.55","3.42M","-1.16%"
