"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","91.51","90.73","91.62","90.45","1.06M","0.85%"
"2020- 12- 30","90.74","90.57","91.01","90.56","1.12M","0.30%"
"2020- 12- 29","90.47","91.03","91.03","90.17","1.32M","-0.15%"
"2020- 12- 28","90.61","90.93","91.31","90.47","1.51M","0.25%"
"2020- 12- 24","90.38","90.34","90.38","89.87","1.19M","0.21%"
"2020- 12- 23","90.19","89.95","90.52","89.79","1.40M","0.76%"
"2020- 12- 22","89.51","90.17","90.17","89.46","2.58M","-0.74%"
"2020- 12- 21","90.18","89.85","90.45","88.97","2.45M","-1.51%"
"2020- 12- 18","91.56","92.00","92.00","91.00","2.19M","-0.30%"
"2020- 12- 17","91.84","91.98","91.98","91.59","1.62M","0.23%"
"2020- 12- 16","91.63","91.89","91.91","91.38","1.20M","-0.16%"
"2020- 12- 15","91.78","91.21","91.87","90.80","1.52M","1.36%"
"2020- 12- 14","90.55","92.30","92.32","90.55","1.74M","-1.04%"
"2020- 12- 11","91.50","91.28","91.63","90.84","1.15M","-0.38%"
"2020- 12- 10","91.85","91.81","92.00","91.47","1.44M","-0.27%"
"2020- 12- 09","92.10","92.34","92.55","91.66","1.25M","0.07%"
"2020- 12- 08","92.04","91.06","92.18","91.01","1.29M","0.63%"
"2020- 12- 07","91.46","91.72","91.72","91.15","1.55M","-0.66%"
"2020- 12- 04","92.07","91.11","92.07","91.10","1.80M","1.43%"
"2020- 12- 03","90.77","90.76","91.18","90.45","1.27M","0.08%"
"2020- 12- 02","90.70","90.11","90.75","90.02","1.06M","0.60%"
"2020- 12- 01","90.16","90.38","91.02","90.14","1.29M","0.97%"
"2020- 11- 30","89.29","90.04","90.08","89.11","2.49M","-1.16%"
"2020- 11- 27","90.34","90.66","90.74","90.11","661.65K","-0.12%"
"2020- 11- 25","90.45","90.77","90.77","90.10","1.29M","-0.65%"
"2020- 11- 24","91.04","89.96","91.06","89.89","1.81M","2.29%"
"2020- 11- 23","89.00","88.44","89.13","88.27","1.31M","1.31%"
"2020- 11- 20","87.85","88.16","88.34","87.71","1.07M","-0.37%"
"2020- 11- 19","88.18","87.85","88.27","87.28","1.17M","0.24%"
"2020- 11- 18","87.97","89.30","89.55","87.95","1.53M","-1.10%"
"2020- 11- 17","88.95","88.77","89.27","88.26","1.22M","-0.50%"
"2020- 11- 16","89.40","89.34","89.47","88.57","1.77M","1.78%"
"2020- 11- 13","87.84","86.88","88.12","86.82","1.47M","1.73%"
"2020- 11- 12","86.35","87.09","87.09","85.70","2.78M","-1.48%"
"2020- 11- 11","87.65","88.38","88.38","87.21","1.40M","-0.15%"
"2020- 11- 10","87.78","87.12","87.97","86.70","1.99M","1.41%"
"2020- 11- 09","86.56","87.47","88.62","86.51","2.67M","3.91%"
"2020- 11- 06","83.30","83.66","83.90","83.06","1.67M","-0.19%"
"2020- 11- 05","83.46","83.02","84.12","83.02","2.16M","1.64%"
"2020- 11- 04","82.11","82.44","83.58","81.64","2.68M","-0.27%"
"2020- 11- 03","82.33","82.15","82.91","82.01","1.62M","1.55%"
"2020- 11- 02","81.07","80.64","81.22","79.93","2.06M","1.92%"
"2020- 10- 30","79.54","79.21","79.66","78.49","2.48M","0.04%"
"2020- 10- 29","79.51","78.79","80.19","77.97","2.64M","0.80%"
"2020- 10- 28","78.88","79.91","80.44","78.79","4.19M","-2.87%"
"2020- 10- 27","81.21","82.29","82.30","81.21","1.67M","-1.40%"
"2020- 10- 26","82.36","83.01","83.06","81.53","2.06M","-1.79%"
"2020- 10- 23","83.86","84.00","84.18","83.37","1.01M","0.06%"
"2020- 10- 22","83.81","82.75","83.91","82.68","1.78M","1.43%"
"2020- 10- 21","82.63","83.00","83.34","82.63","966.76K","-0.52%"
"2020- 10- 20","83.06","83.30","83.76","82.86","1.67M","0.24%"
"2020- 10- 19","82.86","84.13","84.36","82.71","1.09M","-1.42%"
"2020- 10- 16","84.05","84.01","84.39","83.80","1.09M","0.26%"
"2020- 10- 15","83.83","82.92","83.85","82.75","1.37M","0.23%"
"2020- 10- 14","83.64","84.06","84.42","83.57","1.08M","-0.43%"
"2020- 10- 13","84.00","84.57","84.65","83.71","1.23M","-0.91%"
"2020- 10- 12","84.77","84.24","85.00","84.14","1.22M","0.81%"
"2020- 10- 09","84.09","84.50","84.64","83.93","1.17M","0.06%"
"2020- 10- 08","84.04","83.42","84.07","83.31","1.39M","1.22%"
"2020- 10- 07","83.03","82.36","83.23","82.34","1.10M","1.60%"
"2020- 10- 06","81.72","82.61","83.39","81.59","1.83M","-0.73%"
"2020- 10- 05","82.32","81.55","82.41","81.51","1.39M","1.63%"
"2020- 10- 04","81.00","81.00","81.00","81.00","","0.00%"
"2020- 10- 03","81.00","81.00","81.00","81.00","","0.00%"
"2020- 10- 02","81.00","79.87","81.44","79.81","1.69M","0.12%"
"2020- 10- 01","80.90","81.23","81.50","80.42","1.34M","-0.04%"
"2020- 09- 30","80.93","80.52","81.62","80.41","1.21M","0.77%"
"2020- 09- 29","80.31","80.96","81.06","80.00","988.78K","-0.78%"
"2020- 09- 28","80.94","80.57","81.37","80.55","1.34M","1.53%"
"2020- 09- 27","79.72","79.72","79.72","79.72","","0.00%"
"2020- 09- 26","79.72","79.72","79.72","79.72","","0.00%"
"2020- 09- 25","79.72","78.62","79.90","78.44","1.74M","0.98%"
"2020- 09- 24","78.95","78.63","79.72","78.02","2.38M","0.25%"
"2020- 09- 23","78.75","80.46","80.75","78.70","2.09M","-1.86%"
"2020- 09- 22","80.24","80.20","80.80","79.77","1.28M","0.12%"
"2020- 09- 21","80.14","80.72","80.80","79.19","2.77M","-2.88%"
"2020- 09- 18","82.52","83.25","83.27","82.11","1.70M","-0.79%"
"2020- 09- 17","83.18","82.63","83.39","82.16","1.64M","-0.34%"
"2020- 09- 16","83.46","83.34","84.32","83.09","1.51M","0.58%"
"2020- 09- 15","82.98","83.59","83.69","82.86","1.62M","-0.19%"
"2020- 09- 14","83.14","82.75","83.55","82.65","1.90M","1.14%"
"2020- 09- 13","82.20","82.20","82.20","82.20","","0.00%"
"2020- 09- 11","82.20","81.82","82.53","81.62","2.01M","0.74%"
"2020- 09- 10","81.60","83.15","83.17","81.45","2.69M","-1.59%"
"2020- 09- 09","82.92","82.56","83.60","82.44","2.18M","1.16%"
"2020- 09- 08","81.97","83.31","83.36","81.73","2.76M","-2.04%"
"2020- 09- 04","83.68","84.17","84.60","82.70","2.21M","0.08%"
"2020- 09- 03","83.61","85.34","86.00","83.01","2.27M","-1.84%"
"2020- 09- 02","85.18","83.97","85.42","83.81","2.20M","1.73%"
"2020- 09- 01","83.73","83.68","83.76","83.30","2.04M","-0.07%"
"2020- 08- 31","83.79","84.30","84.40","83.79","1.57M","-0.76%"
"2020- 08- 30","84.43","84.43","84.43","84.43","","0.00%"
"2020- 08- 28","84.43","84.16","84.46","83.64","1.19M","0.67%"
"2020- 08- 27","83.87","83.50","84.21","83.50","1.64M","0.60%"
"2020- 08- 26","83.37","83.56","83.60","83.05","1.20M","-0.43%"
"2020- 08- 25","83.73","84.20","84.24","83.40","1.26M","-0.18%"
"2020- 08- 24","83.88","83.05","83.88","82.75","1.20M","1.50%"
"2020- 08- 23","82.64","82.64","82.64","82.64","","0.00%"
"2020- 08- 22","82.64","82.64","82.64","82.64","","0.00%"
"2020- 08- 21","82.64","82.48","82.70","82.24","1.21M","-0.08%"
"2020- 08- 20","82.71","82.72","82.91","82.52","1.36M","-0.53%"
"2020- 08- 19","83.15","83.52","83.84","82.99","1.45M","-0.29%"
"2020- 08- 18","83.39","83.76","83.84","83.32","1.26M","-0.37%"
"2020- 08- 17","83.70","84.05","84.05","83.64","1.68M","-0.33%"
"2020- 08- 14","83.98","83.51","84.19","83.34","1.46M","0.24%"
"2020- 08- 13","83.78","83.93","84.04","83.51","1.45M","-0.82%"
