"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","353.79","353.70","354.39","351.10","411.04K","0.09%"
"2020- 12- 30","353.48","354.55","355.07","352.84","354.64K","0.13%"
"2020- 12- 29","353.01","357.24","357.69","352.33","532.90K","-0.66%"
"2020- 12- 28","355.36","356.25","356.48","353.48","607.61K","0.70%"
"2020- 12- 24","352.88","351.27","353.67","351.27","182.44K","0.66%"
"2020- 12- 23","350.55","354.47","354.86","350.50","388.67K","-0.91%"
"2020- 12- 22","353.77","352.16","355.07","350.79","525.13K","1.08%"
"2020- 12- 21","349.99","345.77","350.16","342.56","603.61K","0.27%"
"2020- 12- 18","349.06","350.77","350.81","347.45","378.22K","-0.27%"
"2020- 12- 17","350.00","349.26","350.49","348.33","487.62K","0.71%"
"2020- 12- 16","347.53","345.59","348.35","344.46","372.97K","0.73%"
"2020- 12- 15","345.02","342.81","345.02","341.21","470.27K","1.66%"
"2020- 12- 14","339.38","339.36","342.16","339.17","308.58K","0.43%"
"2020- 12- 11","337.93","336.49","338.00","334.08","424.00K","-0.18%"
"2020- 12- 10","338.53","334.89","339.87","334.11","796.33K","0.44%"
"2020- 12- 09","337.04","344.19","344.91","335.75","938.30K","-2.05%"
"2020- 12- 08","344.10","342.45","345.26","341.29","417.06K","0.45%"
"2020- 12- 07","342.55","341.83","343.56","341.49","448.78K","0.25%"
"2020- 12- 04","341.70","338.66","341.70","338.03","369.41K","1.12%"
"2020- 12- 03","337.91","338.31","340.25","337.24","288.37K","0.06%"
"2020- 12- 02","337.70","336.83","338.04","334.13","363.35K","-0.12%"
"2020- 12- 01","338.11","337.55","339.93","335.83","718.93K","0.83%"
"2020- 11- 30","335.33","333.24","335.50","328.80","390.30K","0.67%"
"2020- 11- 27","333.09","332.54","334.10","332.27","217.87K","0.74%"
"2020- 11- 25","330.64","330.33","331.37","329.00","317.12K","0.47%"
"2020- 11- 24","329.10","326.59","329.67","323.95","475.79K","1.19%"
"2020- 11- 23","325.24","326.05","327.85","322.50","414.73K","0.06%"
"2020- 11- 20","325.03","327.86","328.50","324.91","320.19K","-0.80%"
"2020- 11- 19","327.66","324.23","327.95","322.60","307.54K","1.10%"
"2020- 11- 18","324.11","327.39","328.52","324.11","364.75K","-1.04%"
"2020- 11- 17","327.52","327.11","329.18","325.56","374.23K","-0.29%"
"2020- 11- 16","328.47","326.25","329.00","324.40","551.57K","0.98%"
"2020- 11- 13","325.27","325.05","325.88","322.16","313.13K","0.79%"
"2020- 11- 12","322.73","325.57","327.11","321.36","372.49K","-0.78%"
"2020- 11- 11","325.26","321.05","326.22","320.46","683.51K","2.44%"
"2020- 11- 10","317.50","320.85","323.19","314.58","1.26M","-2.07%"
"2020- 11- 09","324.20","336.25","336.25","323.64","905.22K","-1.04%"
"2020- 11- 06","327.62","325.36","328.38","321.24","489.32K","0.47%"
"2020- 11- 05","326.10","323.99","326.69","323.10","929.99K","3.18%"
"2020- 11- 04","316.04","313.35","318.17","310.00","919.85K","3.95%"
"2020- 11- 03","304.02","300.83","306.07","299.63","897.15K","1.81%"
"2020- 11- 02","298.61","300.38","302.45","295.40","619.41K","0.21%"
"2020- 10- 30","297.99","301.05","302.58","294.79","842.58K","-2.26%"
"2020- 10- 29","304.88","301.99","308.28","301.48","734.81K","1.42%"
"2020- 10- 28","300.62","307.22","307.31","300.02","803.66K","-3.99%"
"2020- 10- 27","313.12","313.29","314.29","311.67","412.12K","0.45%"
"2020- 10- 26","311.72","315.36","317.63","307.84","601.25K","-2.16%"
"2020- 10- 23","318.60","319.28","319.81","315.99","261.46K","-0.06%"
"2020- 10- 22","318.79","320.17","321.37","314.73","452.25K","-0.40%"
"2020- 10- 21","320.06","320.88","323.49","319.40","322.25K","-0.36%"
"2020- 10- 20","321.21","321.93","324.61","319.70","820.95K","0.13%"
"2020- 10- 19","320.80","327.79","328.97","319.67","536.80K","-1.53%"
"2020- 10- 16","325.78","328.57","329.73","325.78","398.54K","-0.32%"
"2020- 10- 15","326.82","322.23","327.32","321.13","581.84K","-0.38%"
"2020- 10- 14","328.06","330.89","332.29","325.55","1.09M","-0.56%"
"2020- 10- 13","329.91","332.69","333.37","328.78","948.36K","-0.49%"
"2020- 10- 12","331.52","328.33","333.46","326.22","655.98K","2.52%"
"2020- 10- 09","323.37","319.78","323.37","319.63","442.60K","1.69%"
"2020- 10- 08","318.00","319.31","319.69","317.14","1.19M","0.44%"
"2020- 10- 07","316.61","313.93","317.19","313.93","532.87K","1.89%"
