"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","140.78","144.08","144.54","140.23","5.54M","-2.29%"
"2020- 12- 30","144.08","142.71","145.64","142.71","5.55M","1.34%"
"2020- 12- 29","142.17","147.00","147.09","140.82","12.81M","-2.93%"
"2020- 12- 28","146.46","151.10","151.56","146.37","4.29M","-2.37%"
"2020- 12- 24","150.01","151.64","152.64","149.54","1.88M","-0.75%"
"2020- 12- 23","151.14","152.09","152.09","148.26","4.71M","0.01%"
"2020- 12- 22","151.13","151.16","152.70","149.65","6.02M","0.85%"
"2020- 12- 21","149.85","145.58","150.28","145.20","6.08M","1.56%"
"2020- 12- 18","147.55","147.53","148.45","145.97","5.22M","0.61%"
"2020- 12- 17","146.65","145.01","146.80","144.20","2.82M","1.47%"
"2020- 12- 16","144.52","146.40","146.48","143.31","3.57M","-1.23%"
"2020- 12- 15","146.32","148.10","148.22","143.52","3.34M","0.18%"
"2020- 12- 14","146.05","144.93","149.92","144.73","6.21M","2.66%"
"2020- 12- 11","142.27","141.87","143.99","140.53","2.84M","-0.06%"
"2020- 12- 10","142.35","136.89","142.61","136.86","5.25M","3.69%"
"2020- 12- 09","137.28","141.02","142.00","135.28","5.36M","-2.03%"
"2020- 12- 08","140.12","137.24","140.34","136.86","2.09M","1.93%"
"2020- 12- 07","137.47","137.59","139.76","136.71","4.16M","0.93%"
"2020- 12- 04","136.20","134.51","136.53","133.89","3.60M","1.85%"
"2020- 12- 03","133.72","133.13","134.43","132.50","5.05M","0.68%"
"2020- 12- 02","132.82","132.28","133.20","130.84","3.76M","-0.09%"
"2020- 12- 01","132.94","134.88","136.04","132.74","6.20M","-0.20%"
"2020- 11- 30","133.20","132.54","133.63","129.76","4.53M","1.32%"
"2020- 11- 27","131.46","127.73","131.54","127.48","2.37M","3.66%"
"2020- 11- 25","126.82","126.06","127.44","126.01","1.93M","0.60%"
"2020- 11- 24","126.06","126.95","127.68","125.64","2.17M","-0.34%"
"2020- 11- 23","126.49","127.34","127.40","125.26","3.78M","0.36%"
"2020- 11- 20","126.04","124.62","126.59","123.66","6.21M","0.78%"
"2020- 11- 19","125.07","124.83","125.88","124.25","3.16M","0.59%"
"2020- 11- 18","124.34","126.92","127.81","124.07","7.32M","-1.89%"
"2020- 11- 17","126.74","125.38","126.74","123.48","3.99M","0.88%"
"2020- 11- 16","125.64","126.52","126.75","124.43","6.74M","0.48%"
"2020- 11- 13","125.04","124.42","125.67","124.03","3.76M","1.06%"
"2020- 11- 12","123.73","123.71","125.52","122.60","4.94M","0.06%"
"2020- 11- 11","123.66","122.92","123.66","121.56","3.05M","1.39%"
"2020- 11- 10","121.96","120.37","122.42","118.86","7.95M","1.32%"
"2020- 11- 09","120.37","124.07","124.48","119.99","5.66M","0.42%"
"2020- 11- 06","119.87","121.95","121.95","119.09","5.01M","-2.42%"
"2020- 11- 05","122.84","123.97","126.00","121.04","6.46M","-0.09%"
"2020- 11- 04","122.95","118.67","124.22","117.64","12.30M","6.16%"
