"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","113.44","112.27","113.62","111.89","5.58M","1.05%"
"2020- 12- 30","112.26","112.51","112.89","112.14","3.56M","-0.02%"
"2020- 12- 29","112.28","112.27","112.79","111.90","5.05M","0.47%"
"2020- 12- 28","111.75","112.05","112.30","111.45","4.39M","0.25%"
"2020- 12- 24","111.47","111.20","111.68","111.05","1.67M","0.29%"
"2020- 12- 23","111.15","111.46","111.97","111.07","3.92M","0.07%"
"2020- 12- 22","111.07","111.21","111.47","110.44","13.11M","-0.31%"
"2020- 12- 21","111.41","110.87","111.51","109.36","6.13M","-1.41%"
"2020- 12- 18","113.00","113.02","113.27","111.79","7.88M","0.08%"
"2020- 12- 17","112.91","111.89","112.98","111.88","4.26M","1.07%"
"2020- 12- 16","111.71","111.94","112.34","111.23","5.36M","-0.29%"
"2020- 12- 15","112.04","111.61","112.28","111.02","5.01M","1.08%"
"2020- 12- 14","110.84","112.53","113.09","110.77","8.47M","-0.75%"
"2020- 12- 11","111.68","111.66","111.93","110.91","5.22M","-0.39%"
"2020- 12- 10","112.12","112.29","112.74","111.89","5.41M","-0.17%"
"2020- 12- 09","112.31","113.15","113.16","111.81","7.39M","-0.35%"
"2020- 12- 08","112.70","111.58","112.79","111.54","7.95M","0.76%"
"2020- 12- 07","111.85","112.42","112.52","111.44","5.80M","-0.61%"
"2020- 12- 04","112.54","111.39","112.56","111.25","7.86M","1.07%"
"2020- 12- 03","111.35","111.45","111.79","110.87","9.80M","-0.13%"
"2020- 12- 02","111.49","110.74","111.68","110.67","8.55M","0.75%"
"2020- 12- 01","110.66","110.80","111.86","110.47","12.68M","0.84%"
"2020- 11- 30","109.74","109.48","109.84","108.90","12.72M","0.27%"
"2020- 11- 27","109.44","108.88","109.52","108.53","4.44M","0.92%"
"2020- 11- 25","108.44","108.97","109.05","107.98","11.67M","-0.37%"
"2020- 11- 24","108.84","109.05","109.58","108.47","9.62M","0.29%"
"2020- 11- 23","108.52","109.34","109.40","107.84","7.75M","-0.26%"
"2020- 11- 20","108.80","108.80","109.31","108.42","7.67M","-0.23%"
"2020- 11- 19","109.05","109.13","109.22","108.23","10.41M","-0.07%"
"2020- 11- 18","109.13","111.44","111.48","109.10","9.85M","-1.86%"
"2020- 11- 17","111.20","111.36","111.61","110.67","8.90M","-0.65%"
"2020- 11- 16","111.93","113.01","113.19","111.37","7.59M","-0.17%"
"2020- 11- 13","112.12","111.27","112.55","111.07","6.58M","1.26%"
"2020- 11- 12","110.72","110.92","111.36","109.98","7.86M","-0.37%"
"2020- 11- 11","111.13","112.16","112.16","110.59","9.94M","-0.13%"
"2020- 11- 10","111.27","111.46","111.67","110.07","12.53M","0.29%"
"2020- 11- 09","110.95","113.92","114.41","110.81","20.44M","0.94%"
