"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","79.14","79.27","79.41","78.57","348.03K","-0.13%"
"2020- 12- 30","79.24","78.78","79.63","78.74","590.44K","1.07%"
"2020- 12- 29","78.40","80.21","80.26","78.04","1.03M","-2.01%"
"2020- 12- 28","80.01","81.25","81.25","79.93","460.36K","-0.39%"
"2020- 12- 24","80.32","80.66","80.86","79.93","522.71K","-0.07%"
"2020- 12- 23","80.38","80.18","80.56","79.88","845.35K","0.88%"
"2020- 12- 22","79.68","79.18","79.78","78.85","4.07M","1.19%"
"2020- 12- 21","78.74","77.50","78.95","77.29","413.72K","0.12%"
"2020- 12- 18","78.64","79.39","79.82","78.62","443.47K","-0.68%"
"2020- 12- 17","79.18","78.56","79.25","78.35","743.81K","0.72%"
"2020- 12- 16","78.62","79.11","79.11","78.19","643.58K","-0.46%"
"2020- 12- 15","78.98","77.72","78.98","77.29","444.91K","2.63%"
"2020- 12- 14","76.96","77.84","78.22","76.96","4.65M","0.13%"
"2020- 12- 11","76.86","76.78","77.47","76.12","264.95K","-0.50%"
"2020- 12- 10","77.25","75.90","77.34","75.66","237.08K","0.97%"
"2020- 12- 09","76.50","77.61","77.86","75.90","530.99K","-0.75%"
"2020- 12- 08","77.08","75.63","77.11","75.63","773.20K","1.40%"
"2020- 12- 07","76.01","76.17","76.30","75.71","299.42K","-0.04%"
"2020- 12- 04","76.04","74.82","76.07","74.82","413.85K","2.31%"
"2020- 12- 03","74.33","74.05","74.76","74.00","287.25K","0.58%"
"2020- 12- 02","73.90","73.56","74.08","73.00","210.70K","0.26%"
"2020- 12- 01","73.71","74.11","74.38","73.46","244.46K","0.71%"
"2020- 11- 30","73.19","74.32","74.43","72.82","316.60K","-1.69%"
"2020- 11- 27","74.44","74.22","74.45","74.00","113.09K","0.41%"
"2020- 11- 25","74.14","74.12","74.33","73.46","1.24M","-0.45%"
"2020- 11- 24","74.47","74.04","74.89","73.65","842.57K","1.92%"
"2020- 11- 23","73.07","72.39","73.48","72.18","369.58K","2.02%"
"2020- 11- 20","71.62","71.29","71.85","71.03","181.39K","-0.07%"
"2020- 11- 19","71.67","71.02","71.69","70.74","316.68K","0.82%"
"2020- 11- 18","71.09","72.30","72.56","71.06","324.30K","-1.45%"
"2020- 11- 17","72.14","70.96","72.21","70.39","929.26K","0.58%"
"2020- 11- 16","71.72","71.42","71.78","70.87","1.06M","2.35%"
"2020- 11- 13","70.07","69.26","70.31","69.25","315.57K","2.22%"
"2020- 11- 12","68.55","69.23","69.42","68.00","202.38K","-1.71%"
"2020- 11- 11","69.74","70.07","70.07","69.03","390.73K","0.14%"
"2020- 11- 10","69.64","69.23","69.96","68.57","468.29K","1.63%"
"2020- 11- 09","68.53","70.63","71.53","68.39","1.48M","3.78%"
"2020- 11- 06","66.04","66.89","66.90","65.96","175.48K","-0.92%"
"2020- 11- 05","66.64","65.44","66.84","65.44","242.10K","2.96%"
"2020- 11- 04","64.73","63.83","65.56","63.83","849.01K","-0.07%"
"2020- 11- 03","64.78","64.07","65.00","63.86","295.52K","2.96%"
