"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","120.20","119.46","120.34","119.21","154.30K","0.70%"
"2020- 12- 30","119.37","120.34","120.34","119.31","74.47K","-0.59%"
"2020- 12- 29","120.08","120.50","120.65","119.79","125.90K","-0.01%"
"2020- 12- 28","120.09","119.49","120.34","118.90","144.26K","1.25%"
"2020- 12- 24","118.61","118.75","118.82","118.15","27.91K","0.07%"
"2020- 12- 23","118.53","118.21","119.18","118.07","70.33K","0.68%"
"2020- 12- 22","117.73","118.51","118.51","117.01","66.87K","-0.60%"
"2020- 12- 21","118.44","118.03","118.59","116.81","103.81K","-0.56%"
"2020- 12- 18","119.11","119.73","119.73","118.62","119.43K","-0.28%"
"2020- 12- 17","119.44","119.94","120.28","119.14","81.85K","-0.11%"
"2020- 12- 16","119.57","120.05","120.05","119.23","108.81K","-0.16%"
"2020- 12- 15","119.76","119.34","119.79","118.34","233.56K","0.89%"
"2020- 12- 14","118.70","119.62","120.21","118.70","175.13K","-0.54%"
"2020- 12- 11","119.35","118.22","119.43","118.19","105.32K","0.90%"
"2020- 12- 10","118.28","117.24","118.45","116.22","90.37K","0.29%"
"2020- 12- 09","117.94","119.52","120.29","117.30","435.67K","-1.01%"
"2020- 12- 08","119.14","119.00","119.35","118.30","77.34K","-0.03%"
"2020- 12- 07","119.17","118.32","119.44","118.22","127.43K","0.64%"
"2020- 12- 04","118.41","118.18","118.61","117.93","124.79K","0.28%"
"2020- 12- 03","118.08","118.25","118.81","117.94","93.14K","-0.25%"
"2020- 12- 02","118.38","117.11","118.56","116.47","117.57K","0.96%"
"2020- 12- 01","117.25","115.91","117.88","115.91","101.19K","1.73%"
"2020- 11- 30","115.26","115.75","115.75","114.22","82.32K","-0.71%"
"2020- 11- 27","116.09","115.75","116.34","115.57","51.77K","0.66%"
"2020- 11- 25","115.33","115.63","115.63","114.35","80.90K","-0.05%"
"2020- 11- 24","115.39","114.00","115.50","113.81","129.55K","1.71%"
"2020- 11- 23","113.45","113.50","114.02","112.47","99.29K","0.40%"
"2020- 11- 20","113.00","113.15","113.68","112.89","81.45K","-0.12%"
"2020- 11- 19","113.14","111.95","113.28","111.85","76.31K","0.81%"
"2020- 11- 18","112.23","113.12","113.56","112.22","81.52K","-0.88%"
"2020- 11- 17","113.23","113.08","113.58","112.56","199.26K","-0.13%"
"2020- 11- 16","113.38","112.76","113.68","112.72","92.57K","0.75%"
"2020- 11- 13","112.54","111.71","112.61","111.15","79.39K","1.55%"
"2020- 11- 12","110.82","111.07","111.81","110.43","67.61K","-0.42%"
"2020- 11- 11","111.29","111.04","111.45","110.75","130.41K","0.78%"
"2020- 11- 10","110.43","109.61","110.60","108.43","1.03M","-0.25%"
"2020- 11- 09","110.71","113.21","113.67","110.65","153.58K","-0.57%"
"2020- 11- 06","111.35","111.21","111.59","110.14","201.74K","0.39%"
"2020- 11- 05","110.92","110.40","111.50","109.83","207.86K","2.03%"
"2020- 11- 04","108.71","107.22","109.52","106.99","167.57K","4.07%"
"2020- 11- 03","104.46","103.81","105.19","103.38","103.21K","1.54%"
"2020- 11- 02","102.88","103.31","104.40","102.06","103.84K","0.23%"
"2020- 10- 30","102.64","104.63","105.19","101.72","95.03K","-1.29%"
"2020- 10- 29","103.98","102.41","104.82","102.21","222.30K","2.51%"
"2020- 10- 28","101.43","103.41","103.41","101.26","237.30K","-3.69%"
"2020- 10- 27","105.32","105.06","105.49","104.48","112.44K","0.52%"
"2020- 10- 26","104.78","106.37","106.71","103.73","88.90K","-2.29%"
"2020- 10- 23","107.24","106.72","107.31","105.98","55.50K","1.12%"
"2020- 10- 22","106.05","105.62","106.28","104.84","65.84K","0.71%"
"2020- 10- 21","105.30","104.80","106.17","104.80","65.38K","1.69%"
"2020- 10- 20","103.55","103.24","104.36","102.70","66.69K","0.58%"
"2020- 10- 19","102.95","105.06","105.35","102.56","85.16K","-1.60%"
"2020- 10- 16","104.62","105.39","105.62","104.51","119.46K","-0.15%"
"2020- 10- 15","104.78","104.10","104.92","103.86","129.74K","-0.47%"
"2020- 10- 14","105.27","106.83","107.11","105.06","145.14K","-1.19%"
"2020- 10- 13","106.54","106.81","106.88","106.16","137.02K","0.18%"
"2020- 10- 12","106.35","105.44","107.31","105.06","126.00K","2.06%"
"2020- 10- 09","104.20","104.21","104.35","103.87","130.40K","0.64%"
"2020- 10- 08","103.54","103.00","103.65","102.96","479.63K","1.08%"
"2020- 10- 07","102.43","102.34","102.65","101.51","94.81K","0.83%"
"2020- 10- 06","101.59","103.21","103.65","101.40","185.55K","-1.76%"
"2020- 10- 05","103.41","102.34","103.46","102.11","123.39K","1.57%"
"2020- 10- 04","101.81","101.81","101.81","101.81","","0.00%"
"2020- 10- 03","101.81","101.81","101.81","101.81","","0.00%"
"2020- 10- 02","101.81","101.56","102.95","101.45","172.29K","-1.69%"
"2020- 10- 01","103.56","102.69","103.64","102.69","95.44K","1.66%"
"2020- 09- 30","101.87","101.85","102.91","101.32","112.05K","0.09%"
"2020- 09- 29","101.78","101.74","102.10","101.14","112.59K","0.19%"
"2020- 09- 28","101.59","101.62","101.79","100.93","116.47K","1.36%"
"2020- 09- 27","100.23","100.23","100.23","100.23","","0.00%"
"2020- 09- 26","100.23","100.23","100.23","100.23","","0.00%"
"2020- 09- 25","100.23","98.81","100.47","98.20","135.34K","1.49%"
"2020- 09- 24","98.76","98.06","99.75","97.78","81.12K","0.04%"
"2020- 09- 23","98.72","101.50","101.59","98.45","1.10M","-2.60%"
"2020- 09- 22","101.36","100.32","101.47","99.65","246.80K","1.85%"
"2020- 09- 21","99.52","99.33","99.69","98.18","400.76K","-1.18%"
"2020- 09- 18","100.71","102.21","102.40","99.49","163.45K","-1.15%"
"2020- 09- 17","101.88","102.06","102.59","100.71","1.33M","-1.74%"
"2020- 09- 16","103.68","104.67","105.31","103.57","146.08K","-0.74%"
"2020- 09- 15","104.45","103.67","104.84","103.51","102.70K","1.68%"
"2020- 09- 14","102.72","103.25","104.34","102.71","245.62K","0.54%"
"2020- 09- 13","102.17","102.17","102.17","102.17","","0.00%"
"2020- 09- 11","102.17","103.13","103.34","101.15","151.93K","-0.67%"
"2020- 09- 10","102.86","104.96","105.75","102.55","414.07K","-1.44%"
"2020- 09- 09","104.36","104.52","105.27","103.45","242.70K","1.07%"
"2020- 09- 08","103.26","103.18","104.64","102.80","191.80K","-2.30%"
"2020- 09- 04","105.69","107.41","107.73","102.93","158.16K","-1.88%"
"2020- 09- 03","107.71","110.46","110.46","106.47","159.74K","-3.12%"
"2020- 09- 02","111.18","109.57","111.50","109.27","104.74K","1.95%"
"2020- 09- 01","109.05","108.22","109.10","108.01","95.25K","0.99%"
"2020- 08- 31","107.98","108.75","108.75","107.79","194.42K","-0.59%"
"2020- 08- 30","108.62","108.62","108.62","108.62","","0.00%"
"2020- 08- 28","108.62","108.50","108.62","107.94","78.21K","0.51%"
"2020- 08- 27","108.07","109.09","109.09","107.66","90.29K","-0.94%"
"2020- 08- 26","109.09","106.21","109.18","106.14","92.17K","3.07%"
"2020- 08- 25","105.84","105.02","105.99","104.86","103.82K","0.86%"
"2020- 08- 24","104.94","104.50","105.36","104.39","129.66K","1.09%"
"2020- 08- 23","103.81","103.81","103.81","103.81","","0.00%"
"2020- 08- 22","103.81","103.81","103.81","103.81","","0.00%"
"2020- 08- 21","103.81","104.34","104.34","103.65","108.58K","-0.51%"
"2020- 08- 20","104.34","102.91","104.44","102.74","88.26K","1.06%"
"2020- 08- 19","103.25","103.68","104.42","103.05","95.51K","-0.39%"
"2020- 08- 18","103.65","102.91","103.89","102.66","105.31K","0.89%"
"2020- 08- 17","102.74","103.08","103.08","102.40","211.14K","0.02%"
"2020- 08- 14","102.72","102.70","103.04","102.45","78.95K","0.00%"
"2020- 08- 13","102.72","102.29","103.30","102.29","113.47K","0.45%"
"2020- 08- 12","102.26","101.79","103.03","101.79","170.88K","1.04%"
"2020- 08- 11","101.21","102.54","103.18","101.09","405.28K","-1.34%"
