"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","223.73","222.23","224.01","220.86","204.00K","0.71%"
"2020- 12- 30","222.16","222.73","223.42","221.97","193.30K","0.14%"
"2020- 12- 29","221.84","222.43","223.50","221.02","239.00K","0.15%"
"2020- 12- 28","221.50","223.39","223.84","221.50","232.34K","-0.30%"
"2020- 12- 24","222.16","222.18","222.87","221.35","122.56K","0.14%"
"2020- 12- 23","221.85","222.23","223.09","221.73","195.83K","0.13%"
"2020- 12- 22","221.56","222.09","222.23","220.63","254.69K","0.00%"
"2020- 12- 21","221.55","220.71","221.66","217.55","325.35K","-0.71%"
"2020- 12- 18","223.13","223.31","223.40","220.97","291.57K","0.16%"
"2020- 12- 17","222.78","220.78","222.80","220.68","251.49K","0.82%"
"2020- 12- 16","220.97","221.79","222.14","220.28","263.99K","-0.36%"
"2020- 12- 15","221.76","221.22","222.08","219.79","186.26K","1.00%"
"2020- 12- 14","219.57","222.46","223.92","219.57","382.29K","-0.43%"
"2020- 12- 11","220.52","220.66","221.20","218.98","174.53K","-0.31%"
"2020- 12- 10","221.21","220.48","222.17","220.00","188.26K","0.18%"
"2020- 12- 09","220.82","222.96","223.01","219.49","211.39K","-0.59%"
"2020- 12- 08","222.12","219.57","222.19","219.57","201.31K","1.00%"
"2020- 12- 07","219.92","220.98","221.39","219.34","253.42K","-0.53%"
"2020- 12- 04","221.09","218.62","221.09","218.40","252.11K","1.29%"
"2020- 12- 03","218.27","218.45","219.25","217.80","218.25K","0.00%"
"2020- 12- 02","218.28","217.28","218.73","216.50","225.40K","0.49%"
"2020- 12- 01","217.22","217.82","219.72","216.85","252.62K","0.72%"
"2020- 11- 30","215.66","215.33","215.88","214.19","309.64K","0.31%"
"2020- 11- 27","215.00","212.94","215.00","212.78","73.24K","1.36%"
"2020- 11- 25","212.12","212.95","213.06","211.29","147.76K","-0.21%"
"2020- 11- 24","212.57","213.49","214.15","212.37","222.00K","0.10%"
"2020- 11- 23","212.35","213.89","214.10","211.40","178.83K","-0.23%"
"2020- 11- 20","212.83","212.87","213.68","212.07","145.44K","0.10%"
"2020- 11- 19","212.62","212.57","213.13","211.44","236.79K","0.09%"
"2020- 11- 18","212.43","217.33","217.33","212.43","387.56K","-1.93%"
"2020- 11- 17","216.61","217.03","217.03","215.50","247.80K","-0.59%"
"2020- 11- 16","217.90","220.38","220.69","216.70","664.83K","-0.15%"
"2020- 11- 13","218.23","216.63","218.84","216.41","178.45K","1.35%"
"2020- 11- 12","215.32","215.85","216.94","214.21","269.25K","-0.36%"
"2020- 11- 11","216.10","217.75","217.77","215.12","332.97K","0.02%"
"2020- 11- 10","216.06","216.42","216.69","213.36","289.05K","0.27%"
"2020- 11- 09","215.48","225.80","225.80","215.31","688.15K","0.82%"
"2020- 11- 06","213.73","214.36","215.34","212.85","125.78K","-0.32%"
"2020- 11- 05","214.42","216.59","216.59","213.90","400.54K","0.42%"
"2020- 11- 04","213.53","209.61","216.56","209.11","425.84K","4.41%"
"2020- 11- 03","204.52","203.30","206.05","203.30","781.84K","1.71%"
"2020- 11- 02","201.08","200.49","201.75","198.95","177.10K","1.48%"
"2020- 10- 30","198.15","198.36","199.66","195.75","185.26K","-0.42%"
"2020- 10- 29","198.99","200.25","201.18","197.77","200.36K","-0.57%"
"2020- 10- 28","200.14","203.36","204.22","200.00","345.43K","-3.12%"
"2020- 10- 27","206.58","207.26","208.10","206.58","146.12K","-0.43%"
"2020- 10- 26","207.48","208.45","208.45","205.52","130.30K","-1.13%"
"2020- 10- 23","209.85","209.90","210.95","208.58","86.80K","0.46%"
"2020- 10- 22","208.89","206.12","209.33","206.12","147.53K","1.58%"
"2020- 10- 21","205.65","207.16","207.87","205.40","93.33K","-0.74%"
"2020- 10- 20","207.19","208.05","208.79","207.00","82.75K","0.05%"
"2020- 10- 19","207.09","211.10","211.54","206.54","136.75K","-1.66%"
"2020- 10- 16","210.59","209.60","212.14","209.07","110.95K","0.86%"
"2020- 10- 15","208.80","207.72","209.10","207.00","115.97K","-0.50%"
"2020- 10- 14","209.85","211.62","212.27","209.38","113.86K","-0.78%"
"2020- 10- 13","211.51","211.50","212.41","210.91","427.19K","-0.48%"
"2020- 10- 12","212.53","212.23","213.16","211.47","135.62K","0.71%"
"2020- 10- 09","211.04","210.26","211.62","209.94","158.80K","0.84%"
"2020- 10- 08","209.28","209.14","209.71","208.68","1.00M","0.49%"
"2020- 10- 07","208.25","205.56","208.70","205.56","142.07K","2.07%"
"2020- 10- 06","204.02","206.75","207.42","203.96","192.83K","-1.13%"
"2020- 10- 05","206.35","203.38","206.37","203.38","161.47K","2.32%"
"2020- 10- 04","201.68","201.68","201.68","201.68","","0.00%"
"2020- 10- 03","201.68","201.68","201.68","201.68","","0.00%"
"2020- 10- 02","201.68","201.00","203.45","200.60","89.82K","-0.87%"
"2020- 10- 01","203.45","205.16","205.51","202.69","151.31K","-0.27%"
"2020- 09- 30","204.00","201.57","205.55","201.57","126.92K","1.53%"
"2020- 09- 29","200.92","201.57","202.56","200.32","90.43K","-0.03%"
"2020- 09- 28","200.99","201.30","202.47","200.62","127.54K","0.88%"
"2020- 09- 27","199.23","199.23","199.23","199.23","","0.00%"
"2020- 09- 26","199.23","199.23","199.23","199.23","","0.00%"
"2020- 09- 25","199.23","195.35","199.68","195.19","135.58K","1.99%"
"2020- 09- 24","195.35","196.10","196.86","194.51","207.57K","-0.70%"
"2020- 09- 23","196.73","199.76","200.06","196.65","352.52K","-1.23%"
"2020- 09- 22","199.17","199.34","199.58","196.97","162.14K","-0.05%"
"2020- 09- 21","199.26","200.31","200.50","196.77","343.66K","-1.93%"
"2020- 09- 18","203.19","203.67","204.17","200.94","122.90K","0.00%"
"2020- 09- 17","203.19","201.90","203.66","201.16","134.23K","-0.32%"
"2020- 09- 16","203.84","205.08","205.51","203.60","206.94K","0.01%"
"2020- 09- 15","203.81","204.54","205.22","203.26","116.63K","0.28%"
"2020- 09- 14","203.25","201.39","204.16","201.39","161.36K","1.94%"
"2020- 09- 13","199.38","199.38","199.38","199.38","","0.00%"
"2020- 09- 11","199.38","199.54","200.27","197.78","161.09K","0.11%"
"2020- 09- 10","199.17","202.79","203.18","198.86","146.56K","-1.60%"
"2020- 09- 09","202.40","200.50","203.83","200.40","162.93K","1.96%"
"2020- 09- 08","198.50","200.74","200.87","198.20","426.79K","-1.64%"
"2020- 09- 04","201.81","204.82","204.82","199.00","240.07K","-0.93%"
"2020- 09- 03","203.71","209.73","209.73","202.24","317.58K","-2.88%"
"2020- 09- 02","209.76","206.18","210.16","205.23","171.30K","1.97%"
"2020- 09- 01","205.70","207.40","207.57","204.71","149.74K","-0.85%"
"2020- 08- 31","207.47","206.56","208.30","206.45","176.93K","0.40%"
"2020- 08- 30","206.65","206.65","206.65","206.65","","0.00%"
"2020- 08- 28","206.65","206.77","206.77","205.26","105.87K","0.28%"
"2020- 08- 27","206.07","205.12","207.11","203.50","132.95K","0.67%"
"2020- 08- 26","204.69","204.89","204.99","202.91","315.57K","-0.18%"
"2020- 08- 25","205.06","204.34","205.21","203.56","131.17K","0.69%"
"2020- 08- 24","203.65","206.00","206.01","202.50","141.53K","-0.58%"
"2020- 08- 23","204.84","204.84","204.84","204.84","","0.00%"
"2020- 08- 21","204.84","204.66","205.11","203.50","169.74K","-0.09%"
"2020- 08- 20","205.02","204.75","205.25","204.42","238.95K","-0.25%"
"2020- 08- 19","205.53","206.36","206.90","205.00","144.77K","-0.42%"
"2020- 08- 18","206.40","206.85","207.25","205.05","165.99K","-0.11%"
"2020- 08- 17","206.63","205.21","207.04","205.21","171.19K","0.87%"
"2020- 08- 14","204.85","205.15","205.75","204.04","229.05K","-0.32%"
"2020- 08- 13","205.50","205.13","205.66","204.05","120.60K","0.00%"
"2020- 08- 12","205.51","203.38","205.97","203.38","128.34K","1.64%"
"2020- 08- 11","202.19","205.16","205.22","201.88","174.51K","-0.98%"
"2020- 08- 10","204.20","205.35","205.35","203.60","151.74K","-0.47%"
"2020- 08- 09","205.17","205.17","205.17","205.17","","0.00%"
"2020- 08- 08","205.17","205.17","205.17","205.17","","0.00%"
"2020- 08- 07","205.17","204.51","205.50","203.73","150.16K","0.30%"
"2020- 08- 06","204.55","205.64","206.34","203.12","147.99K","-0.55%"
"2020- 08- 05","205.68","205.79","205.97","205.00","131.98K","0.59%"
"2020- 08- 04","204.47","204.92","205.36","203.26","193.05K","-0.41%"
"2020- 08- 03","205.31","204.05","205.83","203.95","164.30K","1.29%"
"2020- 08- 02","202.69","202.69","202.69","202.69","","0.00%"
"2020- 07- 31","202.69","204.11","204.11","200.30","238.83K","-0.71%"
"2020- 07- 30","204.14","203.37","204.55","201.97","109.70K","-0.41%"
"2020- 07- 29","204.99","203.91","205.71","203.67","166.69K","0.94%"
"2020- 07- 28","203.08","203.85","204.52","202.90","112.93K","-0.29%"
"2020- 07- 27","203.68","202.17","204.00","201.33","146.34K","0.93%"
"2020- 07- 26","201.81","201.81","201.81","201.81","","0.00%"
"2020- 07- 25","201.81","201.81","201.81","201.81","","0.00%"
"2020- 07- 24","201.81","203.96","203.96","200.46","175.36K","-1.32%"
"2020- 07- 23","204.50","206.00","207.22","203.64","178.85K","-0.51%"
"2020- 07- 22","205.54","204.92","205.70","203.74","206.85K","0.70%"
"2020- 07- 21","204.11","205.39","205.71","203.61","742.05K","-0.23%"
"2020- 07- 20","204.58","204.85","205.61","203.72","164.78K","0.17%"
"2020- 07- 17","204.24","202.35","204.95","202.22","415.25K","1.38%"
"2020- 07- 16","201.45","201.42","201.58","199.96","124.15K","-0.21%"
"2020- 07- 15","201.88","200.58","202.34","200.03","207.43K","1.63%"
"2020- 07- 14","198.64","194.52","198.87","193.90","321.82K","2.01%"
"2020- 07- 13","194.72","195.97","199.35","194.37","780.40K","0.01%"
"2020- 07- 12","194.70","194.70","194.70","194.70","","0.00%"
"2020- 07- 11","194.70","194.70","194.70","194.70","","0.00%"
"2020- 07- 10","194.70","195.27","195.50","193.41","204.12K","-0.24%"
"2020- 07- 09","195.17","196.60","197.15","192.68","161.51K","-0.77%"
"2020- 07- 08","196.69","197.02","197.53","195.00","129.46K","0.23%"
"2020- 07- 07","196.24","196.47","198.62","195.96","247.27K","-0.58%"
"2020- 07- 06","197.38","197.86","198.67","196.67","239.50K","0.88%"
"2020- 07- 05","195.65","195.65","195.65","195.65","","0.00%"
"2020- 07- 04","195.65","195.65","195.65","195.65","","0.00%"
"2020- 07- 02","195.65","195.85","196.75","195.21","334.14K","0.80%"
"2020- 07- 01","194.10","193.43","194.89","192.42","288.43K","0.75%"
"2020- 06- 30","192.65","189.34","193.59","189.03","155.14K","1.74%"
"2020- 06- 29","189.35","188.95","189.73","187.65","197.99K","0.71%"
"2020- 06- 26","188.02","190.12","190.60","187.19","327.60K","-1.38%"
"2020- 06- 25","190.65","188.87","190.72","186.95","319.24K","1.12%"
"2020- 06- 24","188.54","192.35","192.64","187.03","204.67K","-2.63%"
"2020- 06- 23","193.64","193.97","195.19","193.35","166.68K","0.45%"
"2020- 06- 22","192.77","192.25","192.93","190.45","157.77K","-0.36%"
"2020- 06- 19","193.47","193.40","194.39","191.56","173.51K","0.99%"
"2020- 06- 18","191.58","190.90","192.04","190.20","223.93K","-0.13%"
"2020- 06- 17","191.82","192.73","193.27","191.32","148.37K","-0.05%"
