"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","51.86","52.11","52.33","51.70","932.47K","-0.90%"
"2020- 12- 30","52.33","51.49","52.80","51.46","994.31K","1.65%"
"2020- 12- 29","51.48","52.18","52.28","51.23","897.78K","-0.58%"
"2020- 12- 28","51.78","52.47","53.01","51.67","929.04K","-0.73%"
"2020- 12- 24","52.16","52.64","52.64","51.73","500.24K","-0.84%"
"2020- 12- 23","52.60","51.82","53.28","51.73","1.01M","2.53%"
"2020- 12- 22","51.30","52.10","52.28","51.27","937.76K","-1.57%"
"2020- 12- 21","52.12","51.05","52.59","50.59","1.35M","-1.77%"
"2020- 12- 18","53.06","53.99","54.19","52.75","1.25M","-1.72%"
"2020- 12- 17","53.99","54.76","54.76","53.63","883.31K","-1.57%"
"2020- 12- 16","54.85","55.28","55.42","54.46","836.80K","-0.44%"
"2020- 12- 15","55.09","54.43","55.37","53.83","927.13K","2.02%"
"2020- 12- 14","54.00","56.83","56.83","53.85","1.30M","-3.49%"
"2020- 12- 11","55.95","56.20","56.20","55.12","1.02M","-1.18%"
"2020- 12- 10","56.62","54.86","57.14","54.70","1.25M","3.30%"
"2020- 12- 09","54.81","55.19","56.12","54.02","1.21M","0.22%"
"2020- 12- 08","54.69","53.24","55.13","53.17","931.47K","1.71%"
"2020- 12- 07","53.77","54.53","54.55","53.32","939.06K","-2.40%"
"2020- 12- 04","55.09","53.16","55.10","53.16","1.30M","5.46%"
"2020- 12- 03","52.24","51.88","52.81","51.33","1.25M","1.12%"
"2020- 12- 02","51.66","49.93","52.48","49.85","1.40M","3.09%"
"2020- 12- 01","50.11","51.15","51.49","49.96","1.19M","0.58%"
"2020- 11- 30","49.82","52.21","52.22","49.74","1.24M","-5.54%"
"2020- 11- 27","52.74","53.11","53.50","52.34","611.91K","-1.14%"
"2020- 11- 25","53.35","54.05","54.12","52.96","1.29M","-2.16%"
"2020- 11- 24","54.53","53.59","54.72","53.21","1.90M","5.07%"
"2020- 11- 23","51.90","49.18","51.96","49.18","2.04M","7.16%"
"2020- 11- 20","48.43","48.62","48.86","48.15","757.61K","-0.62%"
"2020- 11- 19","48.73","47.63","48.82","47.13","1.81M","1.71%"
"2020- 11- 18","47.91","49.71","49.93","47.91","1.49M","-2.74%"
"2020- 11- 17","49.26","48.11","49.26","47.48","1.26M","1.15%"
"2020- 11- 16","48.70","47.64","48.78","47.08","1.68M","6.38%"
"2020- 11- 13","45.78","44.43","45.97","44.33","911.26K","3.74%"
"2020- 11- 12","44.13","44.89","45.51","43.70","910.11K","-3.44%"
"2020- 11- 11","45.70","46.59","46.59","45.24","1.15M","-0.59%"
"2020- 11- 10","45.97","45.54","46.00","44.51","1.71M","2.89%"
"2020- 11- 09","44.68","43.48","45.51","43.31","2.38M","14.13%"
