"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","55.50","55.47","56.10","55.11","2.66M","0.05%"
"2020- 12- 30","55.47","54.35","55.66","54.30","3.79M","2.10%"
"2020- 12- 29","54.33","54.50","54.82","53.85","2.22M","0.07%"
"2020- 12- 28","54.29","55.27","55.77","54.18","3.67M","-0.91%"
"2020- 12- 24","54.79","54.92","54.97","54.34","1.07M","0.07%"
"2020- 12- 23","54.75","55.02","55.77","54.73","2.25M","0.15%"
"2020- 12- 22","54.67","55.01","55.27","54.44","2.27M","-0.74%"
"2020- 12- 21","55.08","54.05","55.20","53.73","4.46M","-1.04%"
"2020- 12- 18","55.66","55.11","55.75","54.24","11.54M","3.40%"
"2020- 12- 17","53.83","54.20","54.33","53.59","2.22M","0.00%"
"2020- 12- 16","53.83","54.03","54.11","53.24","1.95M","-0.55%"
"2020- 12- 15","54.13","53.85","54.15","53.15","2.34M","2.02%"
"2020- 12- 14","53.06","54.60","54.76","53.03","3.12M","-1.74%"
"2020- 12- 11","54.00","54.29","54.45","53.57","2.67M","-0.79%"
"2020- 12- 10","54.43","54.66","55.11","54.04","3.40M","-0.42%"
"2020- 12- 09","54.66","54.94","55.75","54.35","3.22M","0.20%"
"2020- 12- 08","54.55","52.90","54.67","52.80","3.16M","2.52%"
"2020- 12- 07","53.21","54.93","54.94","53.02","3.60M","-3.34%"
"2020- 12- 04","55.05","53.81","55.10","53.80","3.29M","2.71%"
"2020- 12- 03","53.60","52.99","53.89","52.80","3.21M","0.75%"
"2020- 12- 02","53.20","53.32","53.56","52.69","3.72M","-0.62%"
"2020- 12- 01","53.53","54.43","54.43","52.90","4.33M","0.98%"
"2020- 11- 30","53.01","54.89","55.00","52.80","8.76M","-4.31%"
"2020- 11- 27","55.40","55.91","56.05","55.01","2.85M","-1.83%"
"2020- 11- 25","56.43","57.45","57.45","56.16","4.16M","-2.25%"
"2020- 11- 24","57.73","57.00","58.18","56.61","4.44M","3.20%"
"2020- 11- 23","55.94","55.28","56.29","55.28","4.56M","2.21%"
"2020- 11- 20","54.73","55.07","55.42","54.28","2.87M","-1.10%"
"2020- 11- 19","55.34","54.91","55.49","53.92","3.51M","0.07%"
"2020- 11- 18","55.30","54.65","56.27","54.53","5.90M","1.51%"
"2020- 11- 17","54.48","53.16","54.56","52.83","4.79M","1.02%"
"2020- 11- 16","53.93","53.55","53.94","52.14","4.08M","3.77%"
"2020- 11- 13","51.97","50.27","52.13","50.20","3.48M","1.82%"
"2020- 11- 12","51.04","51.74","52.07","50.54","3.47M","-2.24%"
"2020- 11- 11","52.21","53.50","53.60","52.02","4.12M","-2.34%"
"2020- 11- 10","53.46","52.33","53.70","52.07","6.15M","2.57%"
"2020- 11- 09","52.12","51.59","54.18","51.54","9.21M","8.07%"
"2020- 11- 06","48.23","49.23","49.82","48.03","3.06M","-1.51%"
"2020- 11- 05","48.97","46.90","49.45","46.88","4.25M","5.43%"
"2020- 11- 04","46.45","47.95","48.34","46.25","4.54M","-4.68%"
"2020- 11- 03","48.73","48.25","49.03","47.66","3.29M","1.90%"
"2020- 11- 02","47.82","46.25","48.06","45.88","3.68M","5.12%"
"2020- 10- 30","45.49","45.86","46.19","44.73","5.17M","-1.64%"
"2020- 10- 29","46.25","44.63","46.66","44.57","4.30M","2.37%"
"2020- 10- 28","45.18","44.94","45.70","44.33","6.16M","-2.98%"
"2020- 10- 27","46.57","46.92","47.19","46.39","4.14M","-1.23%"
"2020- 10- 26","47.15","47.94","48.14","46.82","4.03M","-2.84%"
"2020- 10- 23","48.53","49.52","49.95","48.41","3.12M","-0.59%"
"2020- 10- 22","48.82","49.81","50.16","47.15","5.25M","0.56%"
"2020- 10- 21","48.55","49.38","49.72","48.55","4.09M","-1.60%"
"2020- 10- 20","49.34","49.35","50.15","49.21","2.50M","1.02%"
"2020- 10- 19","48.84","49.33","50.33","48.74","2.90M","-0.93%"
"2020- 10- 16","49.30","49.37","49.99","49.13","2.75M","0.59%"
"2020- 10- 15","49.01","47.88","49.08","47.84","2.79M","0.37%"
"2020- 10- 14","48.83","47.84","48.97","47.42","5.32M","1.98%"
"2020- 10- 13","47.88","48.48","48.98","47.80","6.83M","-1.44%"
"2020- 10- 12","48.58","49.40","49.50","48.26","3.01M","-1.58%"
"2020- 10- 09","49.36","49.80","50.09","48.70","4.47M","-0.04%"
"2020- 10- 08","49.38","48.62","49.41","48.48","2.96M","2.24%"
"2020- 10- 07","48.30","48.45","49.06","48.00","4.51M","0.88%"
"2020- 10- 06","47.88","49.12","49.79","47.86","4.47M","-1.44%"
"2020- 10- 05","48.58","47.90","48.88","47.70","3.91M","2.68%"
"2020- 10- 02","47.31","45.37","47.47","45.13","4.56M","2.60%"
"2020- 10- 01","46.11","47.21","47.50","45.93","3.41M","-2.00%"
"2020- 09- 30","47.05","47.19","48.12","46.61","4.66M","1.03%"
"2020- 09- 29","46.57","47.23","47.78","46.26","2.72M","-1.92%"
"2020- 09- 28","47.48","46.50","48.28","46.50","3.99M","3.13%"
"2020- 09- 25","46.04","45.77","46.40","45.63","4.09M","-0.80%"
"2020- 09- 24","46.41","46.67","46.99","45.69","4.65M","-0.71%"
"2020- 09- 23","46.74","47.68","48.12","46.47","4.02M","-2.22%"
"2020- 09- 22","47.80","47.98","48.16","47.20","4.18M","-0.23%"
