"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","137.22","135.20","137.34","134.93","188.20K","1.45%"
"2020- 12- 30","135.26","134.42","135.68","134.41","114.41K","0.62%"
"2020- 12- 29","134.42","135.12","135.52","134.11","170.22K","-0.21%"
"2020- 12- 28","134.70","134.66","135.48","134.16","128.64K","0.57%"
"2020- 12- 24","133.94","133.61","134.06","132.70","96.68K","0.60%"
"2020- 12- 23","133.14","133.73","135.07","133.13","227.46K","-0.17%"
"2020- 12- 22","133.37","133.70","133.80","132.80","245.58K","0.01%"
"2020- 12- 21","133.35","134.11","134.19","131.80","303.91K","-1.13%"
"2020- 12- 18","134.88","136.34","136.75","134.51","181.97K","-1.10%"
"2020- 12- 17","136.38","136.03","137.18","136.03","146.70K","-0.29%"
"2020- 12- 16","136.77","138.65","139.32","136.61","217.98K","-1.16%"
"2020- 12- 15","138.38","136.02","138.59","135.56","211.51K","2.16%"
"2020- 12- 14","135.45","136.99","138.35","135.45","145.81K","-0.50%"
"2020- 12- 11","136.13","135.40","136.42","135.40","90.07K","0.13%"
"2020- 12- 10","135.95","136.73","137.09","135.44","100.41K","-0.50%"
"2020- 12- 09","136.64","136.94","137.17","135.90","146.08K","-0.16%"
"2020- 12- 08","136.86","136.50","137.69","135.90","107.08K","-0.29%"
"2020- 12- 07","137.26","136.11","137.80","136.11","149.32K","0.50%"
"2020- 12- 04","136.58","137.82","138.20","135.87","195.48K","-0.89%"
"2020- 12- 03","137.80","138.74","139.01","137.37","135.03K","-0.90%"
"2020- 12- 02","139.05","137.90","139.10","136.85","139.01K","0.52%"
"2020- 12- 01","138.33","138.32","140.05","138.19","148.67K","0.72%"
"2020- 11- 30","137.34","139.22","139.22","136.87","197.88K","-1.61%"
"2020- 11- 27","139.59","140.90","140.90","139.04","74.00K","-0.94%"
"2020- 11- 25","140.91","140.33","140.92","139.29","138.02K","0.20%"
"2020- 11- 24","140.63","139.76","140.93","139.59","131.36K","1.37%"
"2020- 11- 23","138.73","139.28","139.47","138.20","144.77K","0.04%"
"2020- 11- 20","138.67","138.23","139.43","137.97","99.73K","0.12%"
"2020- 11- 19","138.51","139.74","139.87","137.59","229.12K","-0.98%"
"2020- 11- 18","139.88","143.54","143.65","139.87","364.76K","-1.96%"
"2020- 11- 17","142.67","144.32","145.01","142.59","139.80K","-1.96%"
"2020- 11- 16","145.52","145.42","145.70","143.87","157.33K","1.10%"
"2020- 11- 13","143.93","143.08","144.30","143.08","247.39K","1.05%"
"2020- 11- 12","142.43","144.17","144.21","141.24","524.54K","-1.79%"
"2020- 11- 11","145.02","145.15","146.07","144.37","177.85K","0.25%"
"2020- 11- 10","144.66","142.90","144.77","142.31","369.57K","1.81%"
"2020- 11- 09","142.09","142.90","147.38","141.93","255.54K","2.19%"
"2020- 11- 06","139.04","139.40","140.72","138.96","95.63K","-0.26%"
"2020- 11- 05","139.40","139.56","141.82","139.25","107.86K","0.88%"
"2020- 11- 04","138.19","140.40","141.53","138.08","153.67K","-1.64%"
"2020- 11- 03","140.50","140.21","141.77","139.53","445.88K","1.53%"
"2020- 11- 02","138.38","136.75","138.38","135.78","130.63K","2.19%"
"2020- 10- 30","135.41","135.87","136.49","133.98","257.27K","-0.65%"
"2020- 10- 29","136.29","135.77","137.99","133.85","211.88K","0.10%"
"2020- 10- 28","136.16","138.23","140.00","135.88","161.07K","-2.99%"
"2020- 10- 27","140.35","140.91","141.63","139.90","120.78K","-0.18%"
"2020- 10- 26","140.60","139.73","140.75","138.68","129.29K","-0.11%"
"2020- 10- 23","140.75","140.84","141.20","139.91","123.10K","0.31%"
"2020- 10- 22","140.31","138.51","140.38","138.03","198.30K","1.48%"
"2020- 10- 21","138.26","138.30","139.05","137.92","69.16K","-0.06%"
"2020- 10- 20","138.34","138.18","139.12","137.84","112.48K","0.58%"
"2020- 10- 19","137.54","138.90","139.35","137.26","95.00K","-0.95%"
"2020- 10- 16","138.86","137.58","139.36","137.42","134.40K","1.00%"
"2020- 10- 15","137.49","136.20","138.13","135.88","87.90K","0.09%"
"2020- 10- 14","137.37","137.79","138.40","136.77","203.36K","-0.15%"
"2020- 10- 13","137.58","137.94","138.00","136.21","658.29K","-0.74%"
"2020- 10- 12","138.60","137.65","139.52","137.49","455.69K","0.59%"
"2020- 10- 09","137.79","138.54","138.54","136.89","157.55K","-0.02%"
"2020- 10- 08","137.82","136.00","138.00","136.00","317.64K","1.79%"
"2020- 10- 07","135.40","135.06","135.83","134.41","193.01K","0.67%"
"2020- 10- 06","134.50","133.53","136.11","133.04","172.87K","0.82%"
"2020- 10- 05","133.40","132.13","133.71","131.43","166.16K","1.18%"
"2020- 10- 04","131.85","131.85","131.85","131.85","","0.00%"
"2020- 10- 03","131.85","131.85","131.85","131.85","","0.00%"
"2020- 10- 02","131.85","129.13","132.45","128.80","189.42K","1.21%"
"2020- 10- 01","130.28","129.44","130.57","129.18","133.87K","0.91%"
"2020- 09- 30","129.10","128.86","129.67","128.08","170.72K","0.99%"
"2020- 09- 29","127.83","128.28","129.11","127.30","126.23K","-0.07%"
"2020- 09- 28","127.92","128.27","129.15","127.73","172.78K","0.27%"
"2020- 09- 27","127.58","127.58","127.58","127.58","","0.00%"
