"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","156.97","156.93","157.45","155.50","62.02K","0.19%"
"2020- 12- 30","156.67","155.01","156.87","155.01","54.07K","1.50%"
"2020- 12- 29","154.36","155.78","155.96","153.52","52.65K","-0.34%"
"2020- 12- 28","154.89","157.14","157.16","154.89","54.62K","-0.41%"
"2020- 12- 24","155.52","155.03","155.52","154.20","29.40K","0.54%"
"2020- 12- 23","154.69","155.00","156.10","154.60","35.42K","0.28%"
"2020- 12- 22","154.26","155.32","155.32","154.01","66.64K","-0.48%"
"2020- 12- 21","155.01","153.05","155.43","152.12","170.91K","-0.47%"
"2020- 12- 18","155.74","156.10","156.10","154.50","66.65K","0.15%"
"2020- 12- 17","155.51","154.83","155.64","154.59","75.39K","0.67%"
"2020- 12- 16","154.47","155.05","155.46","153.75","71.21K","-0.28%"
"2020- 12- 15","154.91","153.24","155.16","152.96","70.26K","1.97%"
"2020- 12- 14","151.92","155.31","155.46","151.90","52.32K","-1.22%"
"2020- 12- 11","153.79","153.62","154.77","152.69","68.67K","-0.59%"
"2020- 12- 10","154.71","154.92","155.82","154.14","67.72K","-0.51%"
"2020- 12- 09","155.50","156.01","156.45","153.95","67.98K","0.17%"
"2020- 12- 08","155.23","153.59","155.65","153.50","59.79K","0.71%"
"2020- 12- 07","154.13","154.94","155.56","153.79","64.91K","-0.62%"
"2020- 12- 04","155.09","152.59","155.09","152.59","93.56K","2.21%"
"2020- 12- 03","151.73","153.12","153.63","151.44","79.76K","-0.54%"
"2020- 12- 02","152.56","153.92","154.25","152.38","58.54K","-1.17%"
"2020- 12- 01","154.36","154.56","154.99","153.51","76.17K","1.41%"
"2020- 11- 30","152.22","153.50","153.50","151.69","64.89K","-1.10%"
"2020- 11- 27","153.91","154.05","154.53","153.27","30.47K","0.43%"
"2020- 11- 25","153.25","154.88","154.88","153.12","79.50K","-1.16%"
"2020- 11- 24","155.05","152.60","155.43","152.60","76.14K","2.49%"
"2020- 11- 23","151.29","150.74","151.91","150.39","70.49K","1.06%"
"2020- 11- 20","149.70","150.03","150.31","149.01","71.80K","-0.15%"
"2020- 11- 19","149.92","149.11","149.94","148.00","76.48K","0.37%"
"2020- 11- 18","149.36","151.17","151.59","149.36","81.02K","-0.87%"
"2020- 11- 17","150.67","150.03","151.00","148.80","81.18K","-0.30%"
"2020- 11- 16","151.13","150.85","151.37","149.43","97.05K","2.02%"
"2020- 11- 13","148.14","146.20","148.45","146.20","48.48K","2.01%"
"2020- 11- 12","145.22","147.59","147.62","144.30","68.05K","-2.11%"
"2020- 11- 11","148.35","150.61","150.61","147.31","82.66K","-1.38%"
"2020- 11- 10","150.42","149.23","150.61","149.00","112.46K","1.33%"
"2020- 11- 09","148.44","152.15","154.99","148.30","95.46K","2.18%"
"2020- 11- 06","145.27","145.79","146.63","144.87","59.20K","0.14%"
"2020- 11- 05","145.07","141.20","145.96","141.20","78.61K","4.11%"
"2020- 11- 04","139.34","141.19","141.84","138.14","64.99K","-1.73%"
"2020- 11- 03","141.79","141.25","142.56","140.47","123.48K","1.67%"
"2020- 11- 02","139.46","136.83","139.82","136.77","111.30K","3.25%"
"2020- 10- 30","135.07","134.73","135.68","133.18","74.96K","-0.21%"
"2020- 10- 29","135.35","132.22","136.07","131.62","193.33K","2.18%"
"2020- 10- 28","132.46","133.49","134.19","132.05","80.11K","-2.97%"
"2020- 10- 27","136.51","138.05","138.05","136.45","46.46K","-1.02%"
"2020- 10- 26","137.91","139.65","139.65","136.79","55.22K","-2.46%"
"2020- 10- 23","141.39","141.88","142.35","140.81","67.83K","0.41%"
"2020- 10- 22","140.81","140.04","141.03","138.63","45.72K","0.46%"
"2020- 10- 21","140.17","140.60","142.04","140.17","31.27K","-0.14%"
"2020- 10- 20","140.37","141.10","141.99","140.25","192.60K","0.32%"
"2020- 10- 19","139.92","142.25","142.80","139.75","126.13K","-1.30%"
"2020- 10- 16","141.76","141.47","142.29","141.22","49.88K","0.64%"
"2020- 10- 15","140.86","139.13","140.97","138.61","55.39K","-0.16%"
"2020- 10- 14","141.09","140.91","141.86","140.52","53.04K","0.58%"
"2020- 10- 13","140.28","140.60","141.30","139.97","51.75K","-1.02%"
"2020- 10- 12","141.72","142.50","142.69","141.58","76.02K","-0.02%"
"2020- 10- 09","141.75","141.93","142.50","140.87","67.39K","0.60%"
"2020- 10- 08","140.91","140.39","141.00","140.19","51.73K","1.13%"
"2020- 10- 07","139.34","137.54","139.63","137.54","540.94K","2.70%"
"2020- 10- 06","135.68","137.97","139.37","135.57","180.87K","-1.22%"
"2020- 10- 05","137.35","135.85","138.16","135.76","86.71K","2.10%"
"2020- 10- 04","134.52","134.52","134.52","134.52","","0.00%"
"2020- 10- 03","134.52","134.52","134.52","134.52","","0.00%"
"2020- 10- 02","134.52","131.38","135.42","131.31","164.31K","0.95%"
"2020- 10- 01","133.26","135.04","135.87","132.76","323.05K","-1.00%"
"2020- 09- 30","134.61","133.89","135.76","133.56","138.88K","0.86%"
