"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","114.74","114.30","115.16","113.74","84.13K","0.41%"
"2020- 12- 30","114.27","112.99","114.92","112.99","47.86K","1.29%"
"2020- 12- 29","112.81","114.19","114.46","112.14","81.05K","-0.66%"
"2020- 12- 28","113.56","114.29","114.35","113.54","45.00K","0.19%"
"2020- 12- 24","113.35","114.34","114.34","112.81","21.47K","-0.54%"
"2020- 12- 23","113.97","111.99","114.55","111.86","48.96K","2.32%"
"2020- 12- 22","111.39","112.03","112.35","111.30","36.88K","-0.30%"
"2020- 12- 21","111.73","110.59","112.20","109.91","64.85K","-0.02%"
"2020- 12- 18","111.75","111.95","112.61","111.22","50.54K","-0.19%"
"2020- 12- 17","111.96","112.58","112.69","111.51","52.27K","-0.19%"
"2020- 12- 16","112.17","114.39","114.39","112.06","57.18K","-1.55%"
"2020- 12- 15","113.94","113.33","114.11","111.75","72.40K","1.46%"
"2020- 12- 14","112.30","115.14","115.37","112.21","68.79K","-2.29%"
"2020- 12- 11","114.93","114.49","116.08","113.93","273.06K","-0.12%"
"2020- 12- 10","115.07","113.96","115.42","113.67","69.88K","0.19%"
"2020- 12- 09","114.85","116.76","117.68","113.50","164.13K","-1.16%"
"2020- 12- 08","116.20","114.76","116.20","114.50","37.34K","1.08%"
"2020- 12- 07","114.96","114.70","115.32","113.91","68.97K","0.45%"
"2020- 12- 04","114.45","112.86","114.64","112.86","60.05K","1.94%"
"2020- 12- 03","112.27","110.41","113.52","110.28","80.06K","2.09%"
"2020- 12- 02","109.97","107.89","110.33","106.86","67.35K","1.42%"
"2020- 12- 01","108.43","108.42","109.66","108.37","43.90K","1.62%"
"2020- 11- 30","106.70","109.26","109.33","106.16","95.68K","-2.59%"
"2020- 11- 27","109.54","110.64","110.64","109.08","36.45K","-0.57%"
"2020- 11- 25","110.17","109.94","110.90","108.80","65.30K","-0.36%"
"2020- 11- 24","110.57","109.52","111.04","109.52","146.68K","2.63%"
"2020- 11- 23","107.74","105.04","108.31","105.04","110.90K","3.47%"
"2020- 11- 20","104.13","105.85","105.85","103.83","86.42K","-1.65%"
"2020- 11- 19","105.88","104.61","105.88","104.00","43.64K","0.81%"
"2020- 11- 18","105.03","107.31","107.70","105.00","81.10K","-0.86%"
"2020- 11- 17","105.94","103.59","106.28","102.89","71.73K","1.52%"
"2020- 11- 16","104.35","103.63","104.49","102.75","239.71K","2.94%"
"2020- 11- 13","101.37","98.40","101.51","98.40","56.90K","3.87%"
"2020- 11- 12","97.59","97.50","98.75","96.88","308.39K","-1.15%"
"2020- 11- 11","98.73","100.97","100.97","98.20","104.25K","-1.64%"
